timestamp,datetime,date,weekday,co2_ppm,temp_c,hum_pct
1776099718,2026-04-14T01:01:58+08:00,2026-04-14,Tuesday,461,24,41.7
1776099778,2026-04-14T01:02:58+08:00,2026-04-14,Tuesday,4115,24.7,43.9
1776099838,2026-04-14T01:03:58+08:00,2026-04-14,Tuesday,493,24.9,40.5
1776100094,2026-04-14T01:08:14+08:00,2026-04-14,Tuesday,1889,23.8,46.4
1776100155,2026-04-14T01:09:15+08:00,2026-04-14,Tuesday,611,24.5,41.4
1776100465,2026-04-14T01:14:25+08:00,2026-04-14,Tuesday,78,23.2,44.9
1776100526,2026-04-14T01:15:26+08:00,2026-04-14,Tuesday,386,23.9,41
1776100586,2026-04-14T01:16:26+08:00,2026-04-14,Tuesday,402,24.2,40
1776100646,2026-04-14T01:17:26+08:00,2026-04-14,Tuesday,365,24.3,39.7
1776126213,2026-04-14T08:23:33+08:00,2026-04-14,Tuesday,1499,25.7,62.3
1776126313,2026-04-14T08:25:13+08:00,2026-04-14,Tuesday,1962,28.1,55.7
1776126374,2026-04-14T08:26:14+08:00,2026-04-14,Tuesday,668,28,49.3
